latitude,longitude,flooded_2018,flooded_2019,flooded_2021,flood_history_count,risk
8.202067701653291,77.02739150975455,1.0,0.0,0.0,1.0,Medium
8.202966016937411,76.79742279701996,1.0,0.0,0.0,1.0,Medium
8.202966016937411,76.9097122075349,1.0,0.0,0.0,1.0,Medium
8.203864332221531,75.89371762119572,1.0,0.0,0.0,1.0,Medium
8.203864332221531,76.37072303706319,1.0,0.0,0.0,1.0,Medium
8.203864332221531,76.59350522752483,1.0,0.0,0.0,1.0,Medium
8.203864332221531,76.65369235156084,1.0,0.0,0.0,1.0,Medium
8.203864332221531,76.68064181008442,1.0,0.0,0.0,1.0,Medium
8.203864332221531,76.83066046253238,1.0,0.0,0.0,1.0,Medium
8.20476264750565,76.70040474633505,1.0,0.0,0.0,1.0,Medium
8.20566096278977,76.05361774176899,1.0,0.0,0.0,1.0,Medium
8.20655927807389,75.51732351714963,1.0,0.0,0.0,1.0,Medium
8.20655927807389,76.62225131661666,1.0,0.0,0.0,1.0,Medium
8.20655927807389,76.933068404922,1.0,0.0,0.0,1.0,Medium
8.20655927807389,76.93576335077437,1.0,0.0,0.0,1.0,Medium
8.207457593358008,76.6204546860484,1.0,0.0,0.0,1.0,Medium
8.211050854494488,75.74998717573659,1.0,0.0,0.0,1.0,Medium
8.211050854494488,76.77586323020108,1.0,0.0,0.0,1.0,Medium
8.211949169778606,75.99253230244886,1.0,0.0,0.0,1.0,Medium
8.211949169778606,76.12009307279384,1.0,0.0,0.0,1.0,Medium
8.211949169778606,76.88905095600015,1.0,0.0,0.0,1.0,Medium
8.212847485062726,75.948514853527,1.0,0.0,0.0,1.0,Medium
8.212847485062726,76.79293122059936,1.0,0.0,0.0,1.0,Medium
8.213745800346846,75.91168392687811,1.0,0.0,0.0,1.0,Medium
8.213745800346846,76.08775372256554,1.0,0.0,0.0,1.0,Medium
8.214644115630964,76.05990594875783,1.0,0.0,0.0,1.0,Medium
8.214644115630964,76.37072303706319,1.0,0.0,0.0,1.0,Medium
8.214644115630964,76.38240113575674,1.0,0.0,0.0,1.0,Medium
8.215542430915084,76.7165744214492,1.0,0.0,0.0,1.0,Medium
8.215542430915084,76.91689872980785,1.0,0.0,0.0,1.0,Medium
8.216440746199204,76.37701124405201,1.0,0.0,0.0,1.0,Medium
8.216440746199204,76.933068404922,1.0,0.0,0.0,1.0,Medium
8.217339061483322,75.93773507011757,1.0,0.0,0.0,1.0,Medium
8.217339061483322,76.14794084660154,1.0,0.0,0.0,1.0,Medium
8.218237376767444,76.7812531219058,1.0,0.0,0.0,1.0,Medium
8.219135692051562,76.75250703281398,1.0,0.0,0.0,1.0,Medium
8.220034007335682,76.12638127978268,1.0,0.0,0.0,1.0,Medium
8.220932322619802,76.36084156893787,1.0,0.0,0.0,1.0,Medium
8.22362726847216,76.68513338650502,1.0,0.0,0.0,1.0,Medium
8.224525583756279,77.01840835691335,1.0,0.0,0.0,1.0,Medium
8.2254238990404,75.38077959396347,1.0,0.0,0.0,1.0,Medium
8.226322214324519,76.77316828434873,1.0,0.0,0.0,1.0,Medium
8.226322214324519,77.41276876664183,1.0,0.0,0.0,1.0,Medium
8.227220529608639,76.43989331394039,1.0,0.0,0.0,1.0,Medium
